airbnb_property_id,rating,property_type,bathrooms,title,bedrooms,accommodates,average_daily_rate,img_cover,reviews,longitude,latitude,days_available,room_type,url,active_listing,city,listing_date,description
42634089.0,9.2,Apartment,1.0,⚛Ozone Cleaned Studio Near Deep Ellum*3⚛,0,2.0,84.0,https://a0.muscache.com/im/pictures/79c927e3-4847-4903-aed5-75e847893e79.jpg?aki_policy=x_large,5.0,-96.76802,32.7985,169.0,Entire home/apt,https://www.airbnb.com/rooms/42634089,1.0,Dallas,,
37906029.0,9.7,Apartment,1.0,(ENTIRE UNIT) Dallas Escape in Arts District,1,4.0,115.0,https://a0.muscache.com/im/pictures/a24e3a3c-7fb6-4979-ad77-a776c5ddfdc0.jpg?aki_policy=x_large,92.0,-96.78198,32.79905,297.0,Private room,https://www.airbnb.com/rooms/37906029,1.0,Dallas,,
33346074.0,9.3,Apartment,1.0,Corporate Suites 1 bedroom Apt with parking Dallas,1,4.0,103.0,https://a0.muscache.com/im/pictures/a072501a-6d84-4211-8049-d9498d1a82d5.jpg?aki_policy=x_large,21.0,-96.79701,32.77853,239.0,Entire home/apt,https://www.airbnb.com/rooms/33346074,1.0,Dallas,,
43664980.0,10.0,Apartment,1.0,Rest & Relaxation,0,4.0,120.0,https://a0.muscache.com/im/pictures/b08f2c05-2cd1-411e-b82e-edb1ae94fc9e.jpg?aki_policy=x_large,6.0,-96.79738,32.77967,121.0,Entire home/apt,https://www.airbnb.com/rooms/43664980,1.0,Dallas,,
42173838.0,9.5,House,2.5,"Beautiful Blues by AA Cntr, Med District, Uptown",4,9.0,225.0,https://a0.muscache.com/im/pictures/07e54491-414f-4dfb-876d-9100a7a67bf9.jpg?aki_policy=x_large,41.0,-96.8213,32.807140000000004,266.0,Entire home/apt,https://www.airbnb.com/rooms/42173838,1.0,Dallas,,
23323012.0,8.9,Apartment,2.0,Jurny | Convention Center | Touchless 2bd Downtown,2,4.0,254.0,https://a0.muscache.com/im/pictures/af3aa9ea-5d34-46fa-8986-8ca54e294258.jpg?aki_policy=x_large,99.0,-96.79657,32.77816,366.0,Entire home/apt,https://www.airbnb.com/rooms/23323012,1.0,Dallas,,
1002584609.0,0.0,apartment,1.0,Fresh + Bright Flat | M Streets,1,4.0,84.0,https://media.vrbo.com/lodging/31000000/30480000/30479200/30479113/370556d7.c10.jpg,0.0,-96.76396722,32.8247089,246.0,Entire home/apt,https://www.airbnb.com/rooms/1002584609,1.0,Dallas,,
43674444.0,,Apartment,1.0,Modern luxury living,1,4.0,139.0,https://a0.muscache.com/im/pictures/ab1568b4-899c-4015-a7cf-9596fd1a56a2.jpg?aki_policy=x_large,0.0,-96.77433,32.80422,92.0,Entire home/apt,https://www.airbnb.com/rooms/43674444,1.0,Dallas,,
41154775.0,10.0,Apartment,1.0,Cozy studio apartment on the Katy Trail,0,2.0,76.0,https://a0.muscache.com/im/pictures/879618d1-6dfe-43ca-9f79-a246b4c5aea7.jpg?aki_policy=x_large,5.0,-96.81514,32.796440000000004,87.0,Entire home/apt,https://www.airbnb.com/rooms/41154775,1.0,Dallas,,
39774996.0,,Apartment,1.0,Uptown Dallas Routh street,1,3.0,239.0,https://a0.muscache.com/im/pictures/9dd23ef2-49af-4344-adcb-0201f3f7f890.jpg?aki_policy=x_large,1.0,-96.80643,32.79971,152.0,Entire home/apt,https://www.airbnb.com/rooms/39774996,1.0,Dallas,,
36910044.0,9.4,Loft,1.0,❤️JFK ***New Listing*** Presidential Suite ❤️,1,4.0,211.0,https://a0.muscache.com/im/pictures/37b35e8e-4033-4e94-b022-9753bbc4feeb.jpg?aki_policy=x_large,17.0,-96.79484,32.7762,98.0,Entire home/apt,https://www.airbnb.com/rooms/36910044,1.0,Dallas,,
46025298.0,,Serviced apartment,1.0,A place to call home | Studio in Dallas,0,1.0,49.0,https://a0.muscache.com/im/pictures/5f353fa1-c571-49e5-87f6-e60bdc0c6146.jpg?aki_policy=x_large,0.0,-96.79,32.789,31.0,Entire home/apt,https://www.airbnb.com/rooms/46025298,1.0,Dallas,,
