airbnb_property_id,rating,property_type,bathrooms,title,bedrooms,accommodates,adr,img_cover,reviews,homeaway_property_id,longitude,latitude,m_homeaway_property_id,days_available,room_type,airbnb_url,active_listing,market
28107697,2.0,House,2.0,Romantic Vacation Home with Jacuzzi bathtub,2,10,340.0,https://a0.muscache.com/im/pictures/5756249e-9d5e-4a3d-bd37-1f6c1b2113f6.jpg?aki_policy=x_large,1,,-97.19041999999999,32.65591,,30,Entire home/apt,https://www.airbnb.com/rooms/28107697,1,Arlington
26939428,9.8,Townhouse,1.0,The Bunk House on Elm,2,6,225.46900000000002,https://a0.muscache.com/im/pictures/1c9cad0b-7326-4fc5-a40f-c54d5f03f59d.jpg?aki_policy=x_large,26,,-97.10438,32.740759999999995,4726305,189,Entire home/apt,https://www.airbnb.com/rooms/26939428,1,Arlington
23311593,9.9,House,1.0,Cozy Chanel Room,1,2,56.6981,https://a0.muscache.com/im/pictures/deb2b273-1fd0-4c8d-8c82-55dc79b58fd5.jpg?aki_policy=x_large,57,,-97.21661,32.657109999999996,,257,Private room,https://www.airbnb.com/rooms/23311593,1,Arlington
38508443,10.0,Apartment,1.0,Relaxing Retreat on Green Oaks,1,4,95.0,https://a0.muscache.com/im/pictures/023bdd63-a48e-4367-8b3d-d29f186637f2.jpg?aki_policy=x_large,2,,-97.08273,32.778009999999995,,19,Entire home/apt,https://www.airbnb.com/rooms/38508443,1,Arlington
29776953,9.3,Apartment,1.0,Arlington Boutique Living #1,1,4,105.17,https://a0.muscache.com/im/pictures/2b522714-2c8a-49bb-881c-b00aeb63d217.jpg?aki_policy=x_large,66,,-97.10386,32.73426,,294,Entire home/apt,https://www.airbnb.com/rooms/29776953,1,Arlington
40710786,9.6,Townhouse,3.5,*Luxury Condo Sleeps 10 + Walk to AT&T Stadium*,3,10,177.896,https://a0.muscache.com/im/pictures/885374b3-ebea-4356-b4f8-8bbec287fdf5.jpg?aki_policy=x_large,26,,-97.09135,32.75577,9331798,201,Entire home/apt,https://www.airbnb.com/rooms/40710786,1,Arlington
42207300,8.0,Apartment,2.0,"4mins drive AT&T stadium,globe life park,six flags",2,6,92.8462,https://a0.muscache.com/im/pictures/557128b9-2615-4fa8-8783-d0baa8f187af.jpg?aki_policy=x_large,8,,-97.10476,32.76457,,41,Entire home/apt,https://www.airbnb.com/rooms/42207300,0,Arlington
43620334,10.0,Apartment,1.0,Family Friendly* Updated Suite*WALK 2 AT&T Stadium,1,4,88.5909,https://a0.muscache.com/im/pictures/1da90c2e-8551-445a-9111-8b76bdcc2d1f.jpg?aki_policy=x_large,1,,-97.1027,32.750890000000005,,30,Entire home/apt,https://www.airbnb.com/rooms/43620334,1,Arlington
36132151,9.5,House,2.0,Home near UTA Campus and 8mi 2 DFW Airport,4,4,216.733,https://a0.muscache.com/im/pictures/fe51ff07-5d64-4881-9c5b-7e82d9da6793.jpg?aki_policy=x_large,15,,-97.07921999999999,32.76943,,271,Entire home/apt,https://www.airbnb.com/rooms/36132151,1,Arlington
29214187,9.8,House,2.0,2.2 Miles from AT&T Stadium 🏟,3,7,152.10299999999998,https://a0.muscache.com/im/pictures/daa1a522-03ca-4e17-a03a-bed5df0d4481.jpg?aki_policy=x_large,54,,-97.10876999999999,32.75412,,83,Entire home/apt,https://www.airbnb.com/rooms/29214187,0,Arlington
37060148,10.0,House,1.5,"6mile from AT&T Stadium, ball park and six flags",2,2,68.098,https://a0.muscache.com/im/pictures/b3285ffe-8e42-4ba3-8fc8-126fd5fe35e6.jpg?aki_policy=x_large,5,,-97.11721999999999,32.64843,,266,Private room,https://www.airbnb.com/rooms/37060148,1,Arlington
38430543,10.0,House,1.0,One nicely furnished room in a 3 bedroom home,1,1,34.6667,https://a0.muscache.com/im/pictures/55e34094-f443-4ac7-8d5c-bcd996816f85.jpg?aki_policy=x_large,1,,-97.18365,32.686609999999995,,31,Private room,https://www.airbnb.com/rooms/38430543,1,Arlington
25505590,9.4,House,2.0,Large Contemporary home 0.5 miles to AT&T Stadium,4,12,345.51800000000003,https://a0.muscache.com/im/pictures/1e2e9d34-74f9-4416-bcb2-6dc60ee1f08f.jpg?aki_policy=x_large,10,,-97.10238000000001,32.74426,,276,Entire home/apt,https://www.airbnb.com/rooms/25505590,1,Arlington
43779930,10.0,Apartment,1.0,Executive Cowtown Suite*Luxe couch &bed Gr8 lctn,1,4,104.5,https://a0.muscache.com/im/pictures/ce319890-a651-438d-9bfe-ae80011764b7.jpg?aki_policy=x_large,1,,-97.10349000000001,32.751509999999996,,30,Entire home/apt,https://www.airbnb.com/rooms/43779930,1,Arlington
40924409,9.9,Condominium,1.0,Recently Updated Condo ★Arlington★ by AT&T Stadium,1,4,74.3172,https://a0.muscache.com/im/pictures/8b4959fd-5e09-472e-bf41-2e742d714311.jpg?aki_policy=x_large,22,,-97.09561,32.76916,,213,Entire home/apt,https://www.airbnb.com/rooms/40924409,1,Arlington
12366409,10.0,House,1.5,Comfy & Cozy Single Bedroom,1,1,37.0667,https://a0.muscache.com/im/pictures/96f0ed9b-90c5-4ab3-9cd8-5916780b88c7.jpg?aki_policy=x_large,8,,-97.07999000000001,32.6448,,111,Private room,https://www.airbnb.com/rooms/12366409,1,Arlington
31536908,9.0,House,1.5,Cattitude Keepe,1,4,58.7308,https://a0.muscache.com/im/pictures/ac0559d9-31fe-439b-9332-af6fa1a83d2e.jpg?aki_policy=x_large,4,,-97.196,32.656,,314,Private room,https://www.airbnb.com/rooms/31536908,1,Arlington
42112246,9.0,Apartment,1.0,Heart of Arlington,0,3,90.0,https://a0.muscache.com/im/pictures/3ff7e95c-96ff-4c4b-af8c-7dab04d928ae.jpg?aki_policy=x_large,2,,-97.10197,32.77259,,44,Entire home/apt,https://www.airbnb.com/rooms/42112246,1,Arlington
39486102,9.3,House,1.0,Comfy Bed near AT&T Stadium & Six Flags,1,2,31.84,https://a0.muscache.com/im/pictures/a648f9b0-6d6b-422a-8416-a49d3a3d6d7b.jpg?aki_policy=x_large,14,,-97.07804,32.76474,,241,Private room,https://www.airbnb.com/rooms/39486102,1,Arlington
43119002,10.0,Apartment,1.0,"2 Miles to AT&T & Rangers Stadium, Six Flags, etc",2,8,73.1538,https://a0.muscache.com/im/pictures/287b6659-80ab-4494-879e-e733c7c10a74.jpg?aki_policy=x_large,4,,-97.13975,32.742709999999995,,44,Entire home/apt,https://www.airbnb.com/rooms/43119002,1,Arlington
1003215898,10.0,House,3.5,"2104 Lindblad Ct. in Arlington, Texas 76013",5,18,550.139,https://odis.homeaway.com/odis/listing/f91480fe-a5db-424b-873d-5838ef267d0a.c10.jpg,2,1452543vb,-97.1949598,32.71174,,189,Entire home/apt,https://www.airbnb.com/rooms/1003215898,0,Arlington
