airbnb_property_id,rating,days_available,bathrooms,title,bedrooms,accommodates,img_cover,reviews,longitude,latitude,adr,property_type,room_type,airbnb_url,active_listing,market
40731609,10.0,305,1.5,Comfortable apartment that will make you feel home,1,2,https://a0.muscache.com/im/pictures/637813ce-8ab6-4069-aabf-7144fac747ee.jpg?aki_policy=x_large,5,-97.05043,32.67209,66.8944,Apartment,Entire home/apt,https://www.airbnb.com/rooms/40731609,1,Grand Prairie
37458751,8.0,294,2.0,C05. Single guest only! LOWEST Cost Private Room,1,1,https://a0.muscache.com/im/pictures/8de0fed1-bc26-477e-a14d-5eafd2751376.jpg?aki_policy=x_large,5,-97.02753,32.68008,27.386,House,Private room,https://www.airbnb.com/rooms/37458751,1,Grand Prairie
42775841,,31,1.0,"Great hospitality, quiet, close to sporting arenas",1,2,https://a0.muscache.com/im/pictures/4d3ced2d-5d1d-48ce-a46e-fa5211bbdd3d.jpg?aki_policy=x_large,0,-97.01583,32.74667,18.1739,House,Private room,https://www.airbnb.com/rooms/42775841,1,Grand Prairie
1004213864,0.0,164,0.0,❤️Gorgeous Super Clean Blue Villa Sleeps 4 + Parking + Wifi DISCOUNTED PRICE!,1,4,https://media.vrbo.com/lodging/50000000/49040000/49038500/49038461/fa59ea02.c10.jpg,0,-97.04003559,32.68384215,89.9699,villa,Entire home/apt,https://www.airbnb.com/rooms/1004213864,1,Grand Prairie
41090685,8.7,98,1.0,Romantic KING BED Town Home Close By Restaurants!,1,4,https://a0.muscache.com/im/pictures/56675a78-580f-48aa-b993-3076dd82964a.jpg?aki_policy=x_large,3,-97.03631,32.68299,115.725,Townhouse,Entire home/apt,https://www.airbnb.com/rooms/41090685,1,Grand Prairie
45202992,10.0,61,3.5,Gorgeous Custom-built Magazine House with Pool,5,16,https://a0.muscache.com/im/pictures/30e4477f-2dcb-4b97-a040-76a12e99a76c.jpg?aki_policy=x_large,7,-96.99708,32.71391,424.561,House,Entire home/apt,https://www.airbnb.com/rooms/45202992,1,Grand Prairie
27754493,10.0,78,1.0,"Private room with Queen bed, shared bathroom",1,2,https://a0.muscache.com/im/pictures/c5893176-8957-4c70-a42a-3cd63803171e.jpg?aki_policy=x_large,1,-97.05439,32.66702,32.6389,House,Private room,https://www.airbnb.com/rooms/27754493,1,Grand Prairie
43069935,8.7,89,4.0,"Retreat On The Peninsula. WIFI, Parking, Luxury",5,10,https://a0.muscache.com/im/pictures/d217da60-bda1-4cdc-bf43-7c50cf7577b7.jpg?aki_policy=x_large,3,-97.05007,32.58346,354.852,House,Entire home/apt,https://www.airbnb.com/rooms/43069935,1,Grand Prairie
41690484,9.6,151,1.0,Comfy room in Grandprarie,1,2,https://a0.muscache.com/im/pictures/b9110ddb-e0e9-4203-8a58-e1e122e82893.jpg?aki_policy=x_large,17,-97.03281,32.6514,35.8876,House,Private room,https://www.airbnb.com/rooms/41690484,1,Grand Prairie
32891324,8.7,196,2.5,Gorgeous Spacious 4bd Brick Home Centrally Located,4,10,https://a0.muscache.com/im/pictures/039c9867-d5a6-4b0a-862e-fb0879b5d4a3.jpg?aki_policy=x_large,3,-97.05545,32.66302,210.5,House,Entire home/apt,https://www.airbnb.com/rooms/32891324,1,Grand Prairie
44227416,9.5,59,2.5,Sun And Fun In Extremely Spacious Grand Home!!,5,16,https://a0.muscache.com/im/pictures/80a685be-2ed0-4e8d-8752-006c12f5bb07.jpg?aki_policy=x_large,4,-96.99237,32.66553,423.128,House,Entire home/apt,https://www.airbnb.com/rooms/44227416,1,Grand Prairie
32674632,9.7,290,2.0,❤ Sleeps 12 ⭐Six Flags ⚡ Cowboys +At&t ✈ Airport✔,4,12,https://a0.muscache.com/im/pictures/4ecd4708-a80f-4f70-909d-a9fea0a1d59c.jpg?aki_policy=x_large,36,-97.025,32.758,289.255,House,Entire home/apt,https://www.airbnb.com/rooms/32674632,1,Grand Prairie
28548616,9.8,191,1.0,Upstairs Bedroom B,1,2,https://a0.muscache.com/im/pictures/e6434a60-16aa-4790-9175-7ec7af8d4a63.jpg?aki_policy=x_large,18,-97.05679,32.68924,36.8514,House,Private room,https://www.airbnb.com/rooms/28548616,1,Grand Prairie
32984151,10.0,91,1.0,Quite Gated apartment with 2 swimming pools,1,1,https://a0.muscache.com/im/pictures/74ff5b51-99b4-4f8e-aa7c-ccbd94bdcb1f.jpg?aki_policy=x_large,1,-97.00665,32.76424,57.6667,Apartment,Private room,https://www.airbnb.com/rooms/32984151,1,Grand Prairie
28452111,10.0,151,1.0,Little Villa DFW,1,2,https://a0.muscache.com/im/pictures/48a8e4dc-0d2d-471a-8545-8ab57105da5a.jpg?aki_policy=x_large,53,-97.00589,32.74072,33.6364,Townhouse,Private room,https://www.airbnb.com/rooms/28452111,1,Grand Prairie
1008348155,10.0,95,1.0,❤️New! Hidden Gem in Arlington | Near Shops | Wi-Fi | King Bed,2,4,https://odis.homeaway.com/odis/listing/5e1d16c2-9b05-456e-803f-83858414516c.c10.jpg,1,-97.0300944,32.68662412,97.3733,apartment,Entire home/apt,https://www.airbnb.com/rooms/1008348155,1,Grand Prairie
40928815,8.9,229,2.0,*3Room 1King&2Queen Beds W Parking & SelfCheck In*,3,11,https://a0.muscache.com/im/pictures/c6222ed0-a9eb-4878-90c4-1c937dcba5f5.jpg?aki_policy=x_large,25,-97.02923,32.68202,182.699,Townhouse,Entire home/apt,https://www.airbnb.com/rooms/40928815,1,Grand Prairie
28471693,9.7,366,1.0,3BR/1BA Near Six Flags and AT&T Stadium,3,5,https://a0.muscache.com/im/pictures/a487ceba-4fee-41ab-a80c-ada5b986a3a1.jpg?aki_policy=x_large,13,-97.03768,32.77986,130.245,House,Private room,https://www.airbnb.com/rooms/28471693,1,Grand Prairie
